Ticker,Input_Date,Input_Close_t-3,Input_Close_t-2,Input_Close_t-1,Output_Date,Output_Close
AAPL,2025-03-03,149.50,150.80,151.70,2025-03-06,153.20
AAPL,2025-03-04,150.80,151.70,153.20,2025-03-07,154.00
AAPL,2025-03-05,151.70,153.20,154.00,2025-03-10,154.80
AAPL,2025-03-06,153.20,154.00,154.80,2025-03-11,155.50
AAPL,2025-03-07,154.00,154.80,155.50,2025-03-12,156.40
GOOGL,2025-03-03,2710.50,2725.00,2730.00,2025-03-06,2740.00
GOOGL,2025-03-04,2725.00,2730.00,2740.00,2025-03-07,2755.00
GOOGL,2025-03-05,2730.00,2740.00,2755.00,2025-03-10,2765.00
GOOGL,2025-03-06,2740.00,2755.00,2765.00,2025-03-11,2770.00
GOOGL,2025-03-07,2755.00,2765.00,2770.00,2025-03-12,2775.00
MSFT,2025-03-03,300.00,302.00,304.50,2025-03-06,306.00
MSFT,2025-03-04,302.00,304.50,306.00,2025-03-07,307.50
MSFT,2025-03-05,304.50,306.00,307.50,2025-03-10,308.00
MSFT,2025-03-06,306.00,307.50,308.00,2025-03-11,309.50
MSFT,2025-03-07,307.50,308.00,309.50,2025-03-12,310.00
TSLA,2025-03-03,700.00,710.00,715.00,2025-03-06,720.00
TSLA,2025-03-04,710.00,715.00,720.00,2025-03-07,725.00
TSLA,2025-03-05,715.00,720.00,725.00,2025-03-10,730.00
TSLA,2025-03-06,720.00,725.00,730.00,2025-03-11,735.00
TSLA,2025-03-07,725.00,730.00,735.00,2025-03-12,740.00
